en,es,i18n_id,zh
Line 93 replaces Line 48 between Castro Valley BART and Hayward BART.,La l<0x00ED>nea 93 reemplaza a la l<0x00ED>nea 48 entre Castro Valley BART y Hayward BART.,su18_122,93<0x8DEF><0x53D6><0x4EE3>48<0x8DEF><0x5728> Hayward BART <0x548C> Castro Valley BART <0x4E4B><0x95F4><0x7684><0x670D><0x52A1><0x3002>
Line 93 replaces Line 48 between Castro Valley BART and Hayward BART. Board Line 93 at the stop ahead of this one.,La l<0x00ED>nea 93 reemplaza a la l<0x00ED>nea 48 entre Castro Valley BART y Hayward BART. Suba a la l<0x00ED>nea 93 en la parada que se encuentra delante de esta parada.,su18_123,93<0x8DEF><0x53D6><0x4EE3>48<0x8DEF><0x5728> Hayward BART <0x548C> Castro Valley BART <0x4E4B><0x95F4><0x7684><0x670D><0x52A1><0x3002><0x8BF7><0x5728><0x672C><0x7AD9><0x524D><0x4E00><0x7AD9><0x4E58><0x5750>93<0x8DEF><0x3002>
"Line 93 replaces Line 48 between Hayward BART and Castro Valley BART. For Castro Valley, transfer to Line 28 at Castro Valley BART, or try Castro Valley Flex.","Line 93 reemplaza a la l<0x00ED>nea 48 entre Hayward BART y Castro Valley BART. Para ir a Castro Valley, haga la transferencia a la l<0x00ED>nea 28 en Castro Valley BART o pruebe el servicio Flex de Castro Valley.",su18_124,93<0x8DEF><0x53D6><0x4EE3>48<0x8DEF><0x5728> Hayward BART <0x548C> Castro Valley BART <0x4E4B><0x95F4><0x7684><0x670D><0x52A1><0x3002><0x53BB> Castro Valley<0xFF0C><0x8BF7><0x5728> Castro Valley BART <0x8F6C><0x4E58>28<0x8DEF><0xFF0C><0x6216><0x4E58><0x5750> Castro Valley Flex<0x3002>
"Line 93 replaces Line 48 between Hayward BART and Castro Valley BART. For Castro Valley, transfer to Line 28 or try Castro Valley Flex at Castro Valley BART.","Line 93 reemplaza a la l<0x00ED>nea 48 entre Hayward BART y Castro Valley BART. Para ir a Castro Valley, haga la transferencia a la l<0x00ED>nea 28 en Castro Valley BART o pruebe el servicio Flex de Castro Valley.",su18_125,93<0x8DEF><0x53D6><0x4EE3>48<0x8DEF><0x5728> Hayward BART <0x548C> Castro Valley BART <0x4E4B><0x95F4><0x7684><0x670D><0x52A1><0x3002><0x53BB> Castro Valley<0xFF0C><0x8BF7><0x5728> Castro Valley BART <0x8F6C><0x4E58>28<0x8DEF><0xFF0C><0x6216><0x4E58><0x5750> Castro Valley Flex<0x3002>
"Line 93 replaces Line 48 between Hayward BART and Castro Valley BART. For most of Castro Valley, take Line 28 or try Castro Valley Flex at Castro Valley BART.","Line 93 reemplaza a la l<0x00ED>nea 48 entre Hayward BART y Castro Valley BART. Para ir a la mayor<0x00ED>a de <0x00E1>reas de Castro Valley, haga la transferencia a la l<0x00ED>nea 28 en Castro Valley BART o pruebe el servicio Flex de Castro Valley.",su18_126,93<0x8DEF><0x53D6><0x4EE3>48<0x8DEF><0x5728> Hayward BART <0x548C> Castro Valley BART <0x4E4B><0x95F4><0x7684><0x670D><0x52A1><0x3002><0x53BB> Castro Valley <0x7684><0x5927><0x90E8><0x5206><0x5730><0x533A><0xFF0C><0x8BF7><0x4E58><0x5750>28<0x8DEF><0xFF0C><0x6216><0x8005><0x5728> Castro Valley BART <0x4E58><0x5750> Castro Valley Flex<0x3002>
Lines 34 and 35 replace Line 75 here.,Las l<0x00ED>neas 35 y 35 reemplazan aqu<0x00ED> a la l<0x00ED>nea 75.,su18_127,34<0x548C>35<0x8DEF><0x5C06><0x66FF><0x4EE3><0x672C><0x7AD9><0x7684>75<0x8DEF><0x3002>
Lines 34 and 35 replace Line 89 here.,Las l<0x00ED>neas 35 y 35 reemplazan aqu<0x00ED> a la l<0x00ED>nea 89.,su18_128,34<0x548C>35<0x8DEF><0x5C06><0x66FF><0x4EE3><0x672C><0x7AD9><0x7684>89<0x8DEF><0x3002>
Lines 34 and 35 replace lines 75 and 89 here.,Las l<0x00ED>neas 35 y 35 reemplazan aqu<0x00ED> a las l<0x00ED>neas 75 y 89.,su18_129,34<0x548C>35<0x8DEF><0x5C06><0x66FF><0x4EE3><0x672C><0x7AD9><0x7684>75<0x548C>89<0x8DEF><0x3002>
Lines 41 and 56 replace Line 85 here.,Las l<0x00ED>neas 41 y 56 reemplazan aqu<0x00ED> a la l<0x00ED>nea 85.,su18_130,41<0x548C>56<0x8DEF><0x5C06><0x66FF><0x4EE3><0x672C><0x7AD9><0x7684>85<0x8DEF><0x3002>
"On A St., take Line 34 for Meekland Ave. or Line 93 for Ashland Ave. and Elgin St.","En A St., s<0x00FA>base a la l<0x00ED>nea 34 para ir a Meekland Ave. o a la l<0x00ED>nea 93 para ir a Ashland Ave. y Elgin St.",su18_131,<0x5728> A St.<0xFF0C><0x4E58><0x5750>34<0x8DEF><0x53BB> Meekland Ave. <0x6216> 93<0x8DEF><0x53BB> Ashland Ave. <0x548C> Elgin St.<0x3002>
"Service is being discontinued on Washington Ave. Take Line 10 for areas near Washington Ave. on E. 14th St., or take Line 28 for Floresta Blvd. at Washington Ave.","El servicio ser<0x00E1> eliminado en Washington Ave. S<0x00FA>base a la l<0x00ED>nea 10 para ir a las <0x00E1>reas cerca de Washington Ave. en E. 14th St., o s<0x00FA>base a la l<0x00ED>nea 28 para ir a Floresta Blvd. en Washington Ave.",su18_132,Washington Ave. <0x4E0A><0x7684><0x670D><0x52A1><0x53D6><0x6D88><0x3002><0x4E58><0x5750>10<0x8DEF><0x53BB> Washington Ave. <0x4E0A><0x7684> E. 14th St. <0x7AD9><0x53CA><0x9644><0x8FD1><0x5730><0x533A><0xFF0C><0x6216><0x8005><0x4E58><0x5750>28<0x8DEF><0x53BB> Floresta Blvd. <0x4E0A><0x7684> Washington Ave.<0x7AD9><0x3002>
Take 34 or 35 on Lewelling Blvd. at Tropic Ct. (east of Washington Ave.),S<0x00FA>base a la l<0x00ED>nea 34 o 35 en Lewelling Blvd. con Tropic Ct. (al este de Washington Ave.),su18_133,<0x5728> Lewelling Blvd. <0x4E0A><0x7684> Tropic Ct. <0x7AD9><0x4E58><0x5750>34<0x6216>35<0x8DEF><0x3002>(Washington Ave. <0x8DEF><0x4E1C>)<0x3002>
Take any bus here for Hayward BART.,S<0x00FA>base aqu<0x00ED> a cualquier autob<0x00FA>s para ir a Hayward BART.,su18_134,<0x4ECE><0x672C><0x7AD9><0x4E58><0x5750><0x4EFB><0x4E00><0x5DF4><0x58EB><0x53BB> Hayward BART<0x3002>
"Take any bus here for Hayward BART.  For Gading Rd., Schafer Ave. or Manon Ave, transfer there to Line 41. For Tampa Ave., Folsom Ave., Industrial Parkway West, Huntwood Ave., or Union Landing, take Line 56 on the other side of A St.","S<0x00FA>base aqu<0x00ED> a cualquier autob<0x00FA>s para ir a Hayward BART. Para ir a Gading Rd., Schafer Ave. o Manon Ave, haga la transferencia aqu<0x00ED> a la l<0x00ED>nea 41. Para ir a Tampa Ave., Folsom Ave., Industrial Parkway West, Huntwood Ave. o Union Landing, s<0x00FA>base a la l<0x00ED>nea 56 en el otro lado de A St.",su18_135,"<0x4ECE><0x672C><0x7AD9><0x4E58><0x5750><0x4EFB><0x4E00><0x5DF4><0x58EB><0x53BB> Hayward BART<0x3002><0x53BB> Gading Rd., Schafer Ave. <0x6216> Manon Ave<0xFF0C><0x8BF7><0x8F6C><0x4E58>41<0x8DEF><0x3002><0x53BB> Tampa Ave., Folsom Ave., Industrial Parkway West, Huntwood Ave., <0x6216> Union Landing<0xFF0C><0x8BF7><0x5728> A St. <0x5BF9><0x9762><0x4E58><0x5750>56<0x8DEF><0x3002>"
"Take any bus here for Hayward BART.  For Gading Rd., Schafer Ave., or Manon Ave, transfer there to Line 41. For Tampa Ave., Folsom Ave., Industrial Parkway West, Huntwood Ave., or Union Landing, take Line 56 on Santa Clara St.","S<0x00FA>base aqu<0x00ED> a cualquier autob<0x00FA>s para ir a Hayward BART. Para ir a Gading Rd., Schafer Ave. o Manon Ave, haga la transferencia aqu<0x00ED> a la l<0x00ED>nea 41. Para ir a Tampa Ave., Folsom Ave., Industrial Parkway West, Huntwood Ave. o Union Landing, s<0x00FA>base a la l<0x00ED>nea 56 en Santa Clara St.",su18_136,"<0x4ECE><0x672C><0x7AD9><0x4E58><0x5750><0x4EFB><0x4E00><0x5DF4><0x58EB><0x53BB> Hayward BART<0x3002><0x53BB> Gading Rd., Schafer Ave. <0x6216> Manon Ave<0xFF0C><0x8BF7><0x8F6C><0x4E58>41<0x8DEF><0x3002><0x53BB> Tampa Ave., Folsom Ave., Industrial Parkway West, Huntwood Ave., <0x6216> Union Landing<0xFF0C><0x8BF7><0x5728> Santa Clara St. <0x4E58><0x5750>56<0x8DEF><0x3002>"
"Take Line 1 on E. 14th St., Line 40 on Bancroft Ave., or line 34 or 35 on MacArthur Blvd. or Estudillo Ave.","S<0x00FA>base a la l<0x00ED>nea 1 en E. 14th St., l<0x00ED>nea 40 en Bancroft Ave., o l<0x00ED>nea 34 o 35 en MacArthur Blvd. o Estudillo Ave.",su18_137,<0x5728> E. 14th St. <0x4E0A><0x4E58><0x5750>1<0x8DEF><0xFF0C>Bancroft Ave. <0x4E0A><0x4E58><0x5750>40<0x8DEF><0xFF0C><0x6216><0x8005><0x5728> MacArthur Blvd. <0x6216> Estudillo Ave. <0x4E0A><0x4E58><0x5750>34<0x6216>35<0x8DEF><0x3002>
Take Line 1 to San Leandro BART for transfers to other parts of San Leandro.,S<0x00FA>base a la l<0x00ED>nea 1 hacia San Leandro BART para hacer transferencias a otras partes de San Leandro.,su18_138,<0x4E58><0x5750>1<0x8DEF><0x53BB> San Leandro BART<0xFF0C><0x8F6C><0x4E58><0x53BB> San Leandro <0x5176><0x4ED6><0x5730><0x533A><0x7684><0x5DF4><0x58EB><0x3002>
"Take line 1, 10 or 28 at E. 14th St. & 159th Ave.","S<0x00FA>base a la l<0x00ED>nea 1, 10 o 28 en E. 14th St. y 159th Ave.",su18_139,"<0x5728> E. 14th St. & 159th Ave. <0x4E58><0x5750>1, 10<0x6216>28<0x8DEF><0x3002>"
Take Line 10 on E. 14th St.,S<0x00FA>base a la l<0x00ED>nea 10 en E. 14th St.,su18_140,<0x5728> E. 14th St. <0x4E0A><0x4E58><0x5750>10<0x8DEF><0x3002>
Take Line 10 on E. 14th St. or take Line 40 here and transfer to line 34 or 35 at Estudillo Ave. for San Leandro BART.,S<0x00FA>base a la l<0x00ED>nea 10 en E. 14th St. o s<0x00FA>base a la l<0x00ED>nea 40 aqu<0x00ED> y haga la transferencia a la l<0x00ED>nea 34 o 35 en Estudillo Ave. para ir a San Leandro BART.,su18_141,<0x5728> E. 14th St. <0x4E0A><0x4E58><0x5750>10<0x8DEF><0xFF0C><0x6216><0x5728><0x672C><0x7AD9><0x4E58><0x5750>40<0x8DEF><0xFF0C><0x7136><0x540E><0x5728> Estudillo Ave. <0x8F6C><0x4E58>34<0x6216>35<0x8DEF><0x53BB> San Leandro BART<0x3002>
"Take Line 10 on E. 14th St., or take Line 28 on Halcyon Dr. or Floresta Blvd.","S<0x00FA>base a la l<0x00ED>nea 10 en E. 14th St., o s<0x00FA>base a la l<0x00ED>nea 28 en Halcyon Dr. o Floresta Blvd.",su18_142,<0x5728> E. 14th St.<0x4E0A><0x4E58><0x5750>10<0x8DEF><0xFF0C><0x6216><0x5728> Halcyon Dr. <0x6216> Floresta Blvd. <0x4E0A><0x4E58><0x5750>28<0x8DEF><0x3002>
"Take Line 10 on E. 14th St., or take line 34 or 35 on Hays St. at W. Juana Ave.","S<0x00FA>base a la l<0x00ED>nea 10 en E. 14th St., o s<0x00FA>base a la l<0x00ED>nea 34 o 35 en Hays St. con W. Juana Ave.",su18_143,<0x5728> E. 14th St. <0x4E0A><0x4E58><0x5750>10<0x8DEF><0xFF0C><0x6216><0x5728> Hays St. <0x4E0A><0x7684> W. Juana Ave. <0x7AD9><0x4E58><0x5750>34<0x6216>35<0x8DEF><0x3002>
Take Line 10 on Mission Blvd. or Line 41 on Whitman St. at Jane Ave. or on Manon Ave. at Schafer Rd.,S<0x00FA>base a la l<0x00ED>nea 10 en Mission Blvd. o a la l<0x00ED>nea 41 en Whitman St. con Jane Ave. o en Manon Ave. con Schafer Rd.,su18_144,<0x5728> Mission Blvd. <0x4E0A><0x4E58><0x5750>10<0x8DEF><0xFF0C><0x6216><0x5728> Whitman St. <0x4E0A><0x7684> Jane Ave. <0x7AD9><0x548C> Manon Ave. <0x4E0A><0x7684> Schafer Rd. <0x7AD9><0x4E58><0x5750>41<0x8DEF><0x3002>
"Take Line 10 on Mission Blvd., line 60 or 86 on Winton Ave., or Line 41 on Whitman St.","S<0x00FA>base a la l<0x00ED>nea 10 en Mission Blvd., la l<0x00ED>nea 60 o 86 en Winton Ave., o a la l<0x00ED>nea 41 en Whitman St.",su18_145,<0x5728> Mission Blvd. <0x4E0A><0x4E58><0x5750>10<0x8DEF><0xFF0C><0x5728> Winton Ave. <0x4E58><0x5750>60<0x6216>86<0x8DEF><0xFF0C><0x5728> Whitman St. <0x4E58><0x5750>41<0x8DEF><0x3002>
"Take line 10 or 40 on E. 14th St., or on weekends, Line 35 on Fairmont Dr.","S<0x00FA>base a la l<0x00ED>nea 10 o 40 en E. 14th St., o a la l<0x00ED>nea 35 en Fairmont Dr. los fines de semana.",su18_146,<0x5728> E. 14th St. <0x4E58><0x5750>10<0x6216>40<0x8DEF><0xFF0C><0x5468><0x672B><0x671F><0x95F4><0xFF0C><0x5728> Fairmont Dr. <0x4E58><0x5750>35<0x8DEF><0x3002>
"Take Line 28 across the street for Bay Fair BART. For areas in Castro Valley, take Line 28 here, or try Castro Valley Flex.","S<0x00FA>base a la l<0x00ED>nea 28 al otro lado de la calle para ir a Bay Fair BART. Para ir a las <0x00E1>reas en Castro Valley, s<0x00FA>base a la l<0x00ED>nea 28 aqu<0x00ED> o pruebe el servicio Flex de Castro Valley.",su18_147,<0x5728><0x8857><0x5BF9><0x9762><0x4E58><0x5750>28<0x8DEF><0x53BB> Bay Fair BART<0x3002><0x53BB> Castro Valley <0x5730><0x533A><0xFF0C><0x8BF7><0x5728><0x672C><0x7AD9><0x4E58><0x5750>28<0x8DEF><0xFF0C><0x6216><0x8005><0x4E58><0x5750> Castro Valley Flex<0x3002>
"Take Line 28 for Halcyon Dr. and Floresta Blvd. For Lewelling Blvd., Wicks Blvd. or the San Leandro Marina, take Line 35 here on weekends, or on Hesperian Blvd. at Thornally Dr. on weekdays.","S<0x00FA>base a la l<0x00ED>nea 28 para ir a Halcyon Dr. y Floresta Blvd. Para ir a Lewelling Blvd., Wicks Blvd. o San Leandro Marina, s<0x00FA>base a la l<0x00ED>nea 35 aqu<0x00ED> los fines de semana, o en Hesperian Blvd. con Thornally Dr. los d<0x00ED>as laborables.",su18_148,"<0x4E58><0x5750>28<0x8DEF><0x53BB> Halcyon Dr. <0x548C> Floresta Blvd.<0x3002><0x53BB> Lewelling Blvd., Wicks Blvd. <0x6216> San Leandro Marina<0xFF0C><0x8BF7><0x4E58><0x5750>35<0x8DEF><0xFF0C><0x5468><0x672B><0x5728><0x672C><0x7AD9><0x5019><0x8F66><0xFF0C><0x5DE5><0x4F5C><0x65E5><0x5728> Hesperian Blvd. <0x4E0A><0x7684> Thornally Dr. <0x7AD9><0x5019><0x8F66><0x3002>"
Take Line 28 on Alvarado St.,S<0x00FA>base a la l<0x00ED>nea 28 en Alvarado St.,su18_149,<0x5728> Alvarado St. <0x4E58><0x5750>28<0x8DEF><0x3002>
"Take Line 28 on Alvarado St., Line 34 to Hayward BART on Merced St., Line 35 to Bay Fair BART on Williams St. at Westgate Parkway, or either line 34 or 35 to San Leandro BART and Foothill Square on Westgate Parkway.","S<0x00FA>base a la l<0x00ED>nea 28 en Alvarado St., a la l<0x00ED>nea 34 hacia Hayward BART en Merced St., a la l<0x00ED>nea 35 hacia Bay Fair BART en Williams St. con Westgate Parkway, o a las l<0x00ED>neas 34 o 35 hacia San Leandro BART y Foothill Square en Westgate Parkway.",su18_150,<0x5728> Alvarado St. <0x4E58><0x5750>28<0x8DEF><0xFF0C><0x4E58><0x5750>34<0x8DEF><0x53BB> Hayward BART <0x4E0A><0x7684> Merced St. <0x7AD9><0xFF0C><0x4E58><0x5750>35<0x8DEF><0x53BB> Bay Fair BART <0xFF08>Williams St. <0x4E0A><0x7684> Westgate Parkway <0x7AD9><0xFF0C><0x6216><0x8005><0x4E58><0x5750>34<0x6216>35<0x8DEF><0x53BB> San Leandro BART <0x548C> Foothill Square <0x4E0A><0x7684> Westgate Parkway <0x7AD9><0x3002>
"Take Line 28 on Castro Valley Blvd. at Lake Chabot Rd., or try Castro Valley Flex.","S<0x00FA>base a la l<0x00ED>nea 28 en Castro Valley Blvd. con Lake Chabot Rd., o pruebe el servicio Flex de Castro Valley.",su18_151,<0x4E58><0x5750>28<0x8DEF><0x53BB> Castro Valley Blvd. <0x4E0A><0x7684> Lake Chabot Rd. <0x7AD9><0xFF0C><0x6216><0x4F7F><0x7528> Castro Valley Flex <0x670D><0x52A1><0x3002>
"Take Line 28 on Center St. or Redwood Rd., or try Castro Valley Flex.","S<0x00FA>base a la l<0x00ED>nea 28 en Center St. o Redwood Rd., o pruebe el servicio Flex de Castro Valley.",su18_152,<0x5728> Center St. <0x6216> Redwood Rd. <0x4E58><0x5750>28<0x8DEF><0xFF0C><0x6216><0x4F7F><0x7528> Castro Valley Flex <0x670D><0x52A1><0x3002>
"Take Line 28 on Center St., or try Castro Valley Flex.","S<0x00FA>base a la l<0x00ED>nea 28 en Center St., o pruebe el servicio Flex de Castro Valley.",su18_153,<0x5728> Center St. <0x4E58><0x5750>28<0x8DEF><0xFF0C><0x6216><0x4F7F><0x7528> Castro Valley Flex <0x670D><0x52A1><0x3002>
Take Line 28 on Floresta Blvd. or Halcyon Dr.,S<0x00FA>base a la l<0x00ED>nea 28 en Floresta Blvd. o Halcyon Dr.,su18_154,<0x5728> Floresta Blvd. <0x6216> Halcyon Dr. <0x4E58><0x5750>28<0x8DEF><0x3002>
"Take Line 28 on Floresta Blvd. or Halcyon Dr., line 35 or 97 on Hesperian Blvd., or Line 34 at Washington Ave. & Fargo Ave.","S<0x00FA>base a la l<0x00ED>nea 28 en Floresta Blvd. o Halcyon Dr., a las l<0x00ED>neas 35 o 97 en Hesperian Blvd., o a la l<0x00ED>nea 34 en Washington Ave. y Fargo Ave.",su18_155,<0x5728> Floresta Blvd. <0x6216> Halcyon Dr. <0x4E58><0x5750>28<0x8DEF><0xFF0C><0x5728> Hesperian Blvd. <0x4E58><0x5750>35<0x6216>97<0x8DEF><0xFF0C><0x5728> Washington Ave. & Fargo Ave. <0x4E58><0x5750>34<0x8DEF><0x3002>
Take Line 28 on Miramar Ave. or 164th Ave.,S<0x00FA>base a la l<0x00ED>nea 28 en Miramar Ave. o 164th Ave.,su18_156,<0x5728> Miramar Ave. <0x6216> 164th Ave. <0x4E58><0x5750>28<0x8DEF><0x3002>
"Take Line 28 on Miramar Ave. or 164th Ave., or try Castro Valley Flex across 167th Ave.","S<0x00FA>base a la l<0x00ED>nea 28 en Miramar Ave. o 164th Ave., o pruebe el servicio Flex de Castro Valley al otro lado de 167th Ave.",su18_157,<0x5728> Miramar Ave. <0x6216> 164th Ave. <0x4E58><0x5750>28<0x8DEF><0xFF0C><0x6216><0x5728> 167th Ave. <0x5BF9><0x9762><0x4E58><0x5750> Castro Valley Flex<0x3002>
"Take Line 28 on Miramar Ave. or 164th Ave., or try Castro Valley Flex south of 167th Ave.","S<0x00FA>base a la l<0x00ED>nea 28 en Miramar Ave. o 164th Ave., o pruebe el servicio Flex de Castro Valley al sur de 167th Ave.",su18_158,<0x5728> Miramar Ave. <0x6216> 164th Ave. <0x4E58><0x5750>28<0x8DEF><0xFF0C><0x6216><0x5728> 167th Ave. <0x8DEF><0x5357><0x4E58><0x5750> Castro Valley Flex<0x3002>
"Take Line 28 on on Somerset Ave. west of Lake Chabot Rd., or try Castro Valley Flex.","S<0x00FA>base a la l<0x00ED>nea 28 en Somerset Ave. al oeste de Lake Chabot Rd., o pruebe el servicio Flex de Castro Valley.",su18_159,<0x5728> Somerset Ave.<0xFF0C>Lake Chabot Rd. <0x8DEF><0x897F><0x4E58><0x5750>28<0x8DEF><0xFF0C><0x6216><0x4F7F><0x7528> Castro Valley Flex <0x670D><0x52A1><0x3002>
"Take Line 28 on Redwood Rd. or on Somerset Ave. west of Lake Chabot Rd., or try Castro Valley Flex.","S<0x00FA>base a la l<0x00ED>nea 28 en Redwood Rd. o en Somerset Ave. al oeste de Lake Chabot Rd., o pruebe el servicio Flex de Castro Valley.",su18_160,<0x5728> Redwood Rd. <0x4E58><0x5750>28<0x8DEF><0xFF0C><0x6216><0x5728> Somerset Ave.<0xFF0C><0x8DEF><0x897F><0x4E58><0x5750>28<0x8DEF><0xFF0C><0x6216><0x4F7F><0x7528> Castro Valley Flex <0x670D><0x52A1><0x3002>
"Take Line 28 on Redwood Rd., or try Castro Valley Flex.","S<0x00FA>base a la l<0x00ED>nea 28 en Redwood Rd., o pruebe el servicio Flex de Castro Valley.",su18_161,<0x5728> Redwood Rd. <0x4E58><0x5750>28<0x8DEF><0xFF0C><0x6216><0x4F7F><0x7528> Castro Valley Flex <0x670D><0x52A1><0x3002>
"Take Line 34 on Farnsworth St. at Fargo Ave., or Line 35 on Lewelling Blvd.","S<0x00FA>base a la l<0x00ED>nea 34 en Farnsworth St. con Fargo Ave., o a la l<0x00ED>nea 35 en Lewelling Blvd.",su18_162,<0x5728> Farnsworth St. <0x4E0A><0x7684> Fargo Ave. <0x7AD9><0x4E58><0x5750>34<0x8DEF><0xFF0C><0x6216><0x5728> Lewelling Blvd. <0x4E58><0x5750>35<0x8DEF><0x3002>
"Take Line 34 on Farnsworth St. at Manor Blvd., or Line 35 on Lewelling Blvd.","S<0x00FA>base a la l<0x00ED>nea 34 en Farnsworth St. con Manor Blvd., o a la l<0x00ED>nea 35 en Lewelling Blvd.",su18_163,<0x5728> Farnsworth St. <0x4E0A><0x7684> Manor Blvd. <0x7AD9><0x4E58><0x5750>34<0x8DEF><0xFF0C><0x6216><0x5728> Lewelling Blvd. <0x4E58><0x5750>35<0x8DEF><0x3002>
Take Line 34 on Meekland Ave.,S<0x00FA>base a la l<0x00ED>nea 34 en Meekland Ave.,su18_164,<0x5728> Meekland Ave. <0x4E58><0x5750>34<0x8DEF><0x3002>
Take Line 34 on Meekland Ave. or Line 10 on Mission Blvd.,S<0x00FA>base a la l<0x00ED>nea 34 en Meekland Ave. o a la l<0x00ED>nea 10 en Mission Blvd.,su18_165,<0x5728> Meekland Ave. <0x4E58><0x5750>34<0x8DEF><0xFF0C><0x6216><0x5728> Mission Blvd. <0x4E58><0x5750>10<0x8DEF><0x3002>
"Take Line 34 on Meekland Ave., Line 93 on Paseo Grande or Line 97 on Hesperian Blvd.","S<0x00FA>base a la l<0x00ED>nea 34 en Meekland Ave., a la l<0x00ED>nea 93 en Paseo Grande o a la l<0x00ED>nea 97 en Hesperian Blvd.",su18_166,<0x5728> Meekland Ave. <0x4E58><0x5750>34<0x8DEF><0xFF0C><0x5728> Paseo Grande <0x4E58><0x5750>93<0x8DEF><0xFF0C><0x6216><0x5728> Hesperian Blvd. <0x4E58><0x5750>97<0x8DEF><0x3002>
Take line 34 or 35 on Estudillo Ave.,S<0x00FA>base a la l<0x00ED>nea 34 o 35 en Estudillo Ave.,su18_167,<0x5728> Estudillo Ave. <0x4E58><0x5750>34<0x6216>35<0x8DEF><0x3002>
Take line 34 or 35 on Estudillo Ave. at MacArthur Blvd.,S<0x00FA>base a la l<0x00ED>nea 34 o 35 en Estudillo Ave. con MacArthur Blvd.,su18_168,<0x5728> Estudillo Ave. <0x4E0A><0x7684> MacArthur Blvd. <0x7AD9><0x4E58><0x5750>34<0x6216>35<0x8DEF><0x3002>
"Take line 34 or 35 on Estudillo Ave. For Bancroft Ave., take these lines and transfer to Line 40 at Bancroft Ave.","S<0x00FA>base a la l<0x00ED>nea 34 o 35 en Estudillo Ave. Para ir a Bancroft Ave., s<0x00FA>base a estas l<0x00ED>neas y haga la transferencia a la l<0x00ED>nea 40 en Bancroft Ave.",su18_169,<0x5728> Estudillo Ave. <0x4E0A><0x4E58><0x5750>34<0x6216>35<0x8DEF><0x3002><0x53BB> Bancroft Ave.<0xFF0C><0x5148><0x4E58><0x5750><0x4EE5><0x4E0A><0x7EBF><0x8DEF><0xFF0C><0x7136><0x540E><0x5728> Bancroft Ave. <0x8F6C><0x4E58>40<0x8DEF><0x3002>
Take line 34 or 35 on Lewelling Blvd. at Tropic Ct. (east of Washington Ave.),S<0x00FA>base a la l<0x00ED>nea 34 o 35 en Lewelling Blvd. con Tropic Ct. (al este de Washington Ave.),su18_170,<0x5728> Lewelling Blvd. <0x4E0A><0x7684> Tropic Ct. <0x7AD9><0x4E58><0x5750>34<0x6216>35<0x8DEF><0x3002>(Washington Ave. <0x8DEF><0x4E1C>)<0x3002>
Take line 34 or 93 at Hayward BART.,S<0x00FA>base a la l<0x00ED>nea 83 o 93 en Hayward BART.,su18_171,<0x5728> Hayward BART <0x4E58><0x5750>34<0x548C>93<0x8DEF><0x3002>
"Take Line 34 to Hayward BART on Merced St., Line 35 to Bay Fair BART on Williams St. at Westgate Parkway, or either line 34 or 35 to San Leandro BART and Foothill Square on Westgate Parkway.","S<0x00FA>base a la l<0x00ED>nea 34 hacia Hayward BART en Merced St., a la l<0x00ED>nea 35 hacia Bay Fair BART en Williams St. con Westgate Parkway, o a la l<0x00ED>nea 34 o 35 hacia San Leandro BART y Foothill Square en Westgate Parkway.",su18_172,<0x5728> Merced St. <0x4E58><0x5750>34<0x8DEF><0x53BB> Hayward BART<0xFF0C><0x5728> Williams St. <0x4E0A><0x7684> Westgate Parkway <0x7AD9><0x4E58><0x5750>35<0x8DEF><0x53BB> Bay Fair BART<0xFF0C><0x6216><0x8005><0x4E58><0x5750>34<0x6216>35<0x8DEF><0x53BB> San Leandro BART <0x548C> Foothill Square <0x4E0A><0x7684> Westgate Parkway <0x7AD9><0x3002>
Take Line 34 toward San Leandro BART on Fargo Ave.,S<0x00FA>base a la l<0x00ED>nea 34 hacia San Leandro BART en Fargo Ave.,su18_173,<0x5728> Fargo Ave. <0x4E58><0x5750><0x5F00><0x5F80> San Leandro BART <0x7684>34<0x8DEF><0x3002>
"Take Line 34. For Paseo Grande, transfer to Line 93 at Meekland Ave. For Hesperian Blvd., transfer to Line 97 at Hesperian Blvd. For A St. west of Filbert St., transfer to  line 83 or 93 on A St.","S<0x00FA>base a la l<0x00ED>nea 34. Para ir a Paseo Grande, haga la transferencia a la l<0x00ED>nea 93 en Meekland Ave. Para ir a Hesperian Blvd., haga la transferencia a la l<0x00ED>nea 97 en Hesperian Blvd. Para ir a A St. al oeste de Filbert St., haga la transferencia a la l<0x00ED>nea 83 o 93 en A St.",su18_174,<0x4E58><0x5750>33<0x8DEF><0x3002><0x53BB> Paseo Grande<0xFF0C><0x5728> Meekland Ave. <0x8F6C><0x4E58>93<0x8DEF><0x3002><0x53BB> Hesperian Blvd.<0xFF0C><0x5728> Hesperian Blvd. <0x8F6C><0x4E58>97<0x8DEF><0x3002><0x53BB> A St.<0xFF0C>Filbert St. <0x8DEF><0x897F><0xFF0C><0x5728> A St. <0x8F6C><0x4E58>83<0x6216>93<0x8DEF><0x3002>
Take line 35 or 93 at Bay Fair BART.,S<0x00FA>base a la l<0x00ED>nea 35 o 93 en Bay Fair BART.,su18_175,<0x5728> Bay Fair BART <0x4E58><0x5750>35<0x6216>93<0x8DEF><0x3002>
